catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN1-3-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya",1905-07-28,"Junius Henderson",1905-07-28,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,siskin,"Carduelis pinus",1905-07-28,"Junius Henderson",1905-07-28,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius",1905-07-28,"Junius Henderson",1905-07-28,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Northern Flicker","Colaptes auratus",1905-07-28,"Junius Henderson",1905-07-28,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-E,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya",1905-07-29,"Junius Henderson",1905-07-29,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-F,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius",1905-07-29,"Junius Henderson",1905-07-29,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-G,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya",1905-07-30,"Junius Henderson",1905-07-30,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-H,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Pine Siskin","Carduelis pinus",1905-07-31,"Junius Henderson",1905-07-31,,,,,"United States of America",US,Colorado,,,"Boulder, Colo",,,,,,,,,,,,,,,,,,
JHFN1-3-I,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Kingbird,"Tyrannus ",1905-07-31,"Junius Henderson",1905-07-31,,,,,"United States of America",US,Colorado,,,Denver,,,,,,,,,,,,,,,,,,
JHFN1-3-J,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius",1905-07-31,"Junius Henderson",1905-07-31,,,,,"United States of America",US,Colorado,,,Denver,,,,,,,,,,,,,,,,,,
